serie,modelo,p,d,q,P,D,Q,AIC,BIC,ljung_box_p,jarque_bera_p
Total,"SARIMA(2,1,2)(1,1,1)[12]",2,1,2,1,1,1,67.07,87.36,0.9997,0.0
Total,"SARIMA(2,1,2)(0,1,1)[12]",2,1,2,0,1,1,67.51,84.9,0.9995,0.0
Total,"SARIMA(1,1,2)(0,1,1)[12]",1,1,2,0,1,1,68.87,83.36,0.9958,0.0
Total,"SARIMA(1,1,2)(1,1,1)[12]",1,1,2,1,1,1,69.19,86.57,0.9967,0.0
Total,"SARIMA(2,1,2)(1,1,0)[12]",2,1,2,1,1,0,69.64,87.03,0.9945,0.0
Total,"SARIMA(2,1,1)(0,1,1)[12]",2,1,1,0,1,1,70.79,85.28,0.9923,0.0
Total,"SARIMA(1,1,2)(1,1,0)[12]",1,1,2,1,1,0,70.88,85.37,0.985,0.0
Total,"SARIMA(2,1,1)(1,1,1)[12]",2,1,1,1,1,1,71.46,88.85,0.9938,0.0
Total,"SARIMA(2,1,1)(1,1,0)[12]",2,1,1,1,1,0,72.24,86.73,0.9844,0.0
Total,"SARIMA(0,1,0)(0,1,1)[12]",0,1,0,0,1,1,73.97,79.77,0.845,0.0
Total,"SARIMA(1,1,0)(0,1,1)[12]",1,1,0,0,1,1,74.49,83.18,0.837,0.0
Total,"SARIMA(0,1,0)(1,1,0)[12]",0,1,0,1,1,0,74.5,80.29,0.8147,0.0
Total,"SARIMA(0,1,1)(0,1,1)[12]",0,1,1,0,1,1,74.63,83.32,0.8266,0.0
Total,"SARIMA(0,1,0)(1,1,1)[12]",0,1,0,1,1,1,74.79,83.48,0.8518,0.0
Total,"SARIMA(1,1,0)(1,1,1)[12]",1,1,0,1,1,1,75.07,86.66,0.8516,0.0
Total,"SARIMA(1,1,0)(1,1,0)[12]",1,1,0,1,1,0,75.15,83.84,0.8206,0.0
Total,"SARIMA(0,1,1)(1,1,1)[12]",0,1,1,1,1,1,75.23,86.82,0.8374,0.0
Total,"SARIMA(0,1,1)(1,1,0)[12]",0,1,1,1,1,0,75.28,83.97,0.8094,0.0
Total,"SARIMA(0,1,2)(0,1,1)[12]",0,1,2,0,1,1,76.2,87.79,0.8988,0.0
Total,"SARIMA(2,1,0)(0,1,1)[12]",2,1,0,0,1,1,76.26,87.86,0.9007,0.0
Total,"SARIMA(1,1,1)(0,1,1)[12]",1,1,1,0,1,1,76.37,87.96,0.8704,0.0
Total,"SARIMA(0,1,2)(1,1,1)[12]",0,1,2,1,1,1,76.81,91.3,0.9115,0.0
Total,"SARIMA(0,1,2)(1,1,0)[12]",0,1,2,1,1,0,76.83,88.42,0.8908,0.0
Total,"SARIMA(2,1,0)(1,1,0)[12]",2,1,0,1,1,0,76.87,88.46,0.8937,0.0
Total,"SARIMA(2,1,0)(1,1,1)[12]",2,1,0,1,1,1,76.89,91.38,0.9097,0.0
Total,"SARIMA(1,1,1)(1,1,1)[12]",1,1,1,1,1,1,76.98,91.47,0.8828,0.0
Total,"SARIMA(1,1,1)(1,1,0)[12]",1,1,1,1,1,0,76.99,88.59,0.8601,0.0
Total,"SARIMA(0,1,0)(0,1,0)[12]",0,1,0,0,1,0,88.27,91.17,0.568,0.0
Total,"SARIMA(2,1,1)(0,1,0)[12]",2,1,1,0,1,0,88.78,100.37,0.7769,0.0
Total,"SARIMA(2,1,2)(0,1,0)[12]",2,1,2,0,1,0,89.54,104.03,0.7784,0.0
Total,"SARIMA(1,1,0)(0,1,0)[12]",1,1,0,0,1,0,90.1,95.9,0.5473,0.0
Total,"SARIMA(0,1,1)(0,1,0)[12]",0,1,1,0,1,0,90.12,95.92,0.5491,0.0
Total,"SARIMA(2,1,0)(0,1,0)[12]",2,1,0,0,1,0,91.6,100.29,0.6282,0.0
Total,"SARIMA(0,1,2)(0,1,0)[12]",0,1,2,0,1,0,91.65,100.35,0.6133,0.0
Total,"SARIMA(1,1,1)(0,1,0)[12]",1,1,1,0,1,0,91.92,100.61,0.5721,0.0
Total,"SARIMA(1,1,2)(0,1,0)[12]",1,1,2,0,1,0,93.65,105.25,0.6142,0.0
Via_Aérea,"SARIMA(2,1,2)(1,1,0)[12]",2,1,2,1,1,0,179.52,196.91,0.914,0.0
Via_Aérea,"SARIMA(2,1,2)(1,1,1)[12]",2,1,2,1,1,1,181.17,201.46,0.9137,0.0
Via_Aérea,"SARIMA(0,1,1)(1,1,0)[12]",0,1,1,1,1,0,184.91,193.6,0.5947,0.0
Via_Aérea,"SARIMA(2,1,2)(0,1,0)[12]",2,1,2,0,1,0,185.42,199.91,0.9238,0.0
Via_Aérea,"SARIMA(1,1,0)(1,1,0)[12]",1,1,0,1,1,0,185.49,194.19,0.5801,0.0
Via_Aérea,"SARIMA(0,1,1)(0,1,1)[12]",0,1,1,0,1,1,185.83,194.52,0.6274,0.0
Via_Aérea,"SARIMA(0,1,0)(1,1,0)[12]",0,1,0,1,1,0,185.84,191.63,0.4741,0.0
Via_Aérea,"SARIMA(0,1,2)(1,1,0)[12]",0,1,2,1,1,0,185.84,197.43,0.6227,0.0
Via_Aérea,"SARIMA(1,1,0)(0,1,1)[12]",1,1,0,0,1,1,186.3,195.0,0.616,0.0
Via_Aérea,"SARIMA(0,1,0)(0,1,1)[12]",0,1,0,0,1,1,186.44,192.24,0.5035,0.0
Via_Aérea,"SARIMA(2,1,0)(1,1,0)[12]",2,1,0,1,1,0,186.44,198.03,0.598,0.0
Via_Aérea,"SARIMA(2,1,2)(0,1,1)[12]",2,1,2,0,1,1,186.58,203.97,0.7586,0.0
Via_Aérea,"SARIMA(0,1,1)(1,1,1)[12]",0,1,1,1,1,1,186.65,198.24,0.6182,0.0
Via_Aérea,"SARIMA(0,1,2)(0,1,1)[12]",0,1,2,0,1,1,186.89,198.48,0.6428,0.0
Via_Aérea,"SARIMA(1,1,0)(1,1,1)[12]",1,1,0,1,1,1,187.22,198.81,0.6029,0.0
Via_Aérea,"SARIMA(2,1,0)(0,1,1)[12]",2,1,0,0,1,1,187.44,199.03,0.6217,0.0
Via_Aérea,"SARIMA(0,1,0)(1,1,1)[12]",0,1,0,1,1,1,187.61,196.3,0.4782,0.0
Via_Aérea,"SARIMA(0,1,2)(1,1,1)[12]",0,1,2,1,1,1,187.61,202.1,0.6392,0.0
Via_Aérea,"SARIMA(2,1,1)(1,1,0)[12]",2,1,1,1,1,0,187.61,202.1,0.6224,0.0
Via_Aérea,"SARIMA(1,1,2)(1,1,0)[12]",1,1,2,1,1,0,187.78,202.27,0.6287,0.0
Via_Aérea,"SARIMA(2,1,0)(1,1,1)[12]",2,1,0,1,1,1,188.24,202.73,0.6123,0.0
Via_Aérea,"SARIMA(2,1,1)(0,1,1)[12]",2,1,1,0,1,1,188.68,203.17,0.6422,0.0
Via_Aérea,"SARIMA(1,1,2)(0,1,1)[12]",1,1,2,0,1,1,188.81,203.3,0.65,0.0
Via_Aérea,"SARIMA(2,1,1)(1,1,1)[12]",2,1,1,1,1,1,189.39,206.78,0.6382,0.0
Via_Aérea,"SARIMA(1,1,2)(1,1,1)[12]",1,1,2,1,1,1,189.54,206.93,0.6465,0.0
