,PC1,PC2,abs_PC1,abs_PC2
DN_HistogramMode_5,-0.05041598030901933,0.31381381520651114,0.05041598030901933,0.31381381520651114
DN_HistogramMode_10,0.038623888045058036,-0.0501634410204858,0.038623888045058036,0.0501634410204858
CO_f1ecac,-0.31008679649972676,0.012644960133577203,0.31008679649972676,0.012644960133577203
CO_FirstMin_ac,0.07423808577715514,0.333943129643114,0.07423808577715514,0.333943129643114
CO_HistogramAMI_even_2_5,-0.2964589111159415,0.1337508942717541,0.2964589111159415,0.1337508942717541
CO_trev_1_num,-0.026737990801270966,-0.36486537429653115,0.026737990801270966,0.36486537429653115
MD_hrv_classic_pnn40,-0.1831720880248533,-0.047863708876339346,0.1831720880248533,0.047863708876339346
SB_BinaryStats_mean_longstretch1,-0.25602747328121306,0.19017678193793716,0.25602747328121306,0.19017678193793716
SB_TransitionMatrix_3ac_sumdiagcov,-0.1858420002023401,0.05247470010583936,0.1858420002023401,0.05247470010583936
PD_PeriodicityWang_th0_01,0.28115850444797097,0.1542017124590676,0.28115850444797097,0.1542017124590676
CO_Embed2_Dist_tau_d_expfit_meandiff,-0.15982713987971625,-0.11171993187010236,0.15982713987971625,0.11171993187010236
IN_AutoMutualInfoStats_40_gaussian_fmmi,0.1496737785072411,0.2602529062833907,0.1496737785072411,0.2602529062833907
FC_LocalSimple_mean1_tauresrat,0.30389572061467474,0.058376767005322246,0.30389572061467474,0.058376767005322246
DN_OutlierInclude_p_001_mdrmd,-0.2400062565600787,-0.2531181978472689,0.2400062565600787,0.2531181978472689
DN_OutlierInclude_n_001_mdrmd,0.2911840138060511,0.03977590625529885,0.2911840138060511,0.03977590625529885
SP_Summaries_welch_rect_area_5_1,-0.2728478944683741,0.22596722501566513,0.2728478944683741,0.22596722501566513
SB_BinaryStats_diff_longstretch0,-0.05601416464105134,0.16091953676930099,0.05601416464105134,0.16091953676930099
SB_MotifThree_quantile_hh,0.17930481858733663,-0.17576712291010926,0.17930481858733663,0.17576712291010926
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,-0.00443953946262433,0.38180707197475255,0.00443953946262433,0.38180707197475255
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.016390736534293383,0.39150151065549815,0.016390736534293383,0.39150151065549815
SP_Summaries_welch_rect_centroid,0.3061180085393982,0.060822299590007865,0.3061180085393982,0.060822299590007865
FC_LocalSimple_mean3_stderr,0.3264781662207568,-0.1070007497192742,0.3264781662207568,0.1070007497192742
